holiday,weekend,mon,tue,wed,thur,fri,sat,sun,temperature,rain,humidity,dayoff,sandwich,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,spring,summer,fall,winter,event
0,0,0,1,0,0,0,0,0,0.6069767441860465,0.0,0.563013698630137,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.5186046511627906,0.0,0.07808219178082193,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.5790697674418605,0.0,0.060273972602739756,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.6162790697674418,0.0,0.1561643835616438,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.5558139534883721,0.05951307484220018,0.6863013698630136,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.5186046511627906,0.0,0.5493150684931507,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,1,0,0,0,0,0,0,0.5813953488372092,0.0,0.3684931506849315,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.586046511627907,0.005861136158701533,0.7383561643835617,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.7348837209302326,0.0,0.5561643835616439,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.7279069767441859,0.0,0.6178082191780822,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.672093023255814,0.0,0.5013698630136987,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.641860465116279,0.0,0.0821917808219178,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.6348837209302325,0.0,0.1643835616438356,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,1,0,0,0,0,0,0,0.613953488372093,0.0,0.23972602739726023,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.4813953488372093,0.008115419296663661,0.6876712328767123,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.48604651162790696,0.0,0.5808219178082191,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.5604651162790697,0.0,0.37123287671232874,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.641860465116279,0.0,0.4,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.5906976744186047,0.034265103697024346,0.7753424657534247,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.5790697674418605,0.0,0.452054794520548,1,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
1,0,1,0,0,0,0,0,0,0.6069767441860465,0.0,0.3452054794520548,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.6604651162790698,0.0,0.2424657534246576,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.7093023255813953,0.0,0.3013698630136986,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.7325581395348837,0.008115419296663661,0.5287671232876712,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,0,0,0,0,0,1,0,0,0.7069767441860465,0.3755635707844905,0.9342465753424656,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.6162790697674418,0.1740306582506763,0.8890410958904109,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.5441860465116279,0.0009017132551848513,0.5767123287671233,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,1,0,0,0,0,0,0,0.5837209302325581,0.0,0.4780821917808219,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.6488372093023256,0.0,0.4164383561643835,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.6674418604651162,0.0,0.37671232876712324,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.7046511627906976,0.0,0.28219178082191787,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.6953488372093023,0.0,0.3013698630136986,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.6883720930232557,0.0,0.40958904109589034,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.6790697674418604,0.0,0.3684931506849315,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,1,0,0,0,0,0,0,0.741860465116279,0.0,0.363013698630137,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,0,0,0.8116279069767441,0.0,0.23972602739726023,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,1,0,0,0,0,0.813953488372093,0.0,0.2794520547945205,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,1,0,0,0,0.7116279069767442,0.0,0.5972602739726027,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
0,0,0,0,0,0,1,0,0,0.7488372093023256,0.0,0.5136986301369862,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,1,0,0.7441860465116279,0.0,0.5780821917808219,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
1,1,0,0,0,0,0,0,1,0.6906976744186046,0.0,0.6123287671232875,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
