holiday,weekend,temperature,humidity,target,rain,mon,tue,wed,thur,fri,sat,sun
0,1,6.3,50.5,3488,0,False,False,True,False,False,False,False
0,1,5.1,66.4,932,1,False,False,False,True,False,False,False
1,1,-2.2,37.6,2841,0,False,False,False,False,True,False,False
0,1,-0.9,52.1,2606,0,False,False,False,False,False,True,False
0,1,5.3,72.4,2089,1,False,False,False,False,False,False,True
0,1,6.7,59.4,288,0,True,False,False,False,False,False,False
0,1,5.9,81.1,16,1,False,True,False,False,False,False,False
0,1,7.0,62.1,257,0,False,False,True,False,False,False,False
0,1,4.6,51.3,195,0,False,False,False,True,False,False,False
0,1,2.9,44.5,253,0,False,False,False,False,True,False,False
0,1,2.3,43.9,2483,0,False,False,False,False,False,True,False
0,1,4.6,43.3,4398,0,False,False,False,False,False,False,True
0,1,6.4,56.4,202,0,True,False,False,False,False,False,False
0,1,5.6,76.6,102,1,False,True,False,False,False,False,False
0,1,6.6,54.8,287,0,False,False,True,False,False,False,False
0,1,8.4,56.0,471,0,False,False,False,True,False,False,False
0,1,9.5,48.1,678,0,False,False,False,False,True,False,False
0,1,11.4,41.8,8942,0,False,False,False,False,False,True,False
0,1,9.7,51.8,4193,0,False,False,False,False,False,False,True
0,1,7.9,34.6,418,0,True,False,False,False,False,False,False
0,1,7.2,53.0,119,0,False,True,False,False,False,False,False
0,1,4.6,43.1,263,0,False,False,True,False,False,False,False
0,1,5.2,48.3,291,0,False,False,False,True,False,False,False
0,1,10.1,58.1,507,1,False,False,False,False,True,False,False
0,1,14.9,53.9,8250,1,False,False,False,False,False,True,False
0,1,14.1,47.8,5964,0,False,False,False,False,False,False,True
0,1,9.4,72.1,169,1,True,False,False,False,False,False,False
