content,sdate,edate,place
2024 시 확산 시민운동 순회전시,2024-12-20,2024-12-27,120
치매인식개선 전시,2024-12-20,2024-12-20,111
시민과 함께하는 한밭대금,2024-12-21,2024-12-22,104
2024 시 확산 시민운동 순회전시,2024-12-27,2025-01-03,107
스마트폰으로 비친 자연풍경,2025-01-20,2025-01-26,104
스마트폰 사진전,2025-01-20,2025-01-26,104
한밭대금 공연,2025-01-25,2025-01-25,111
스마트폰 사진전,2025-01-27,2025-02-01,104
2024년 대전관광사진 전국공모전 수상작 전시회,2025-02-01,2025-02-15,111
중고등학생 미술작품 전시,2025-02-04,2025-03-04,120
대금 버스킹,2025-02-22,2025-02-22,118
시민과 함께하는 한밭대금,2025-02-22,2025-02-22,118
태극기달기캠페인,2025-02-27,2025-02-27,109
제6회 전국 작가 초대 봄 시화전,2025-03-01,2025-03-15,104
판암역 일대 아웃리치 홍보 캠페인 ,2025-03-06,2025-03-06,101
금강사랑 그림 전시회,2025-03-06,2025-03-21,111
장애인식개선 관련 전시회,2025-03-17,2025-03-28,108
시민과 함께하는 한밭대금,2025-03-22,2025-03-22,111
사진전,2025-03-24,2025-03-30,104
2025년 찾아가는 일자리발굴단 이동상담소 운영,2025-03-25,2025-03-25,116
사진전,2025-03-31,2025-04-03,104
산불방지 사진전,2025-04-04,2025-04-06,104
장애인식개선 캠페인,2025-04-11,2025-05-23,112
시민과 함께하는 한밭대금,2025-04-19,2025-04-19,111
극단 홍시 공연 전시,2025-04-21,2025-04-30,105
노무 상담,2025-04-22,2025-05-31,111
대전시민과 역 이용객을 위한 스프링 클래식 콘서트,2025-04-28,2025-04-28,104
대전시민과 역 이용객을 위한 스프링 클래식 콘서트,2025-04-28,2025-04-28,104
올바른 선거문화 확립 캠페인,2025-05-13,2025-05-13,104
시민과 함께하는 한밭대금,2025-05-17,2025-05-17,111
수정시낭송아카데미 시낭송,2025-05-18,2025-05-18,107
투표 참여 독려 캠페인(비정치성),2025-05-28,2025-05-28,107
지족역 둘러보기,2025-06-05,2025-06-05,121
테스트,2025-06-09,2025-06-16,111
테스트,2025-06-09,2025-06-17,120
제 80회 구강보건의 날 캠페인,2025-06-12,2025-06-12,111
장애인식개선 관련 전시회,2025-06-16,2025-06-27,105
[2025지속]장애인 웹툰아카데미 초급과정 전시,2025-06-19,2025-06-19,121
복지위기가구 발굴 캠페인,2025-06-19,2025-06-19,110
소비자에게 찾아가는 주제별 정보전시회,2025-06-21,2025-06-21,111
시민과 함께하는 한밭대금,2025-06-21,2025-06-21,111
시청역 상가 3호(중도장애인복귀지원센터) 개소식,2025-07-10,2025-07-10,111
장애인 성폭력 예방 캠페인,2025-07-10,2025-07-10,101
동구행복한어르신복지관 후원 홍보 캠페인,2025-07-11,2025-07-11,101
지족고등학교 전시회,2025-07-13,2025-07-15,121
중도장애인복귀지원센터 뮤지컬 공연,2025-07-16,2025-07-16,111
펜문학회 시화전,2025-07-19,2025-07-27,104
대전시민들과 함께하는 힐링음악회 ,2025-07-19,2025-07-19,104
시민과 함께하는 한밭대금,2025-07-19,2025-07-19,111
안전문화캠페인,2025-07-25,2025-07-25,116
제12회 대전장애인 백일장 및 사생대회 수상작 전시회,2025-08-04,2025-08-08,112
대전 0시축제,2025-08-08,2025-08-16,104
2025년 을지연습계기 안보사진전,2025-08-11,2025-08-14,112
2025 대전문학관 문학콘서트,2025-08-14,2025-08-14,108
정원유치원그림전시회,2025-08-18,2025-08-31,116
홍보캠페인,2025-08-19,2025-09-30,109
제22회 에너지의날 행사,2025-08-22,2025-08-22,111
시민과 함께하는 한밭대금,2025-08-23,2025-08-23,111
안전문화캠페인,2025-08-25,2025-08-25,120
광복,2025-08-29,2025-08-31,111
광복80주년 기념 대전충남 초중고 그림사진 공모전,2025-09-01,2025-09-07,111
정원유치원그림전시회,2025-09-01,2025-09-15,117
홍보캠페인,2025-09-01,2025-11-30,109
세계태양광총회 엠블럼 시민선호도조사,2025-09-01,2025-09-07,111
제 3회 정훈 시인 문학제,2025-09-01,2025-09-07,104
소비자에게 찾아가는 주제별 정보전시회,2025-09-06,2025-09-12,107
제2회 대한민국 인구 페스티벌 전시회,2025-09-08,2025-09-12,111
끌림문학동인시화전,2025-09-08,2025-09-15,104
자살예방의 날 홍보,2025-09-10,2025-09-10,108
자살예방의 날 홍보,2025-09-10,2025-09-10,105
자살예방의 날 홍보,2025-09-10,2025-09-10,106
자살예방의 날 홍보,2025-09-10,2025-09-10,107
아이들의 그림전시,2025-09-15,2025-09-29,120
장애인식개선 관련 전시회,2025-09-15,2025-09-26,112
정원유치원그림전시회,2025-09-15,2025-09-29,120
정원유치원그림전시회,2025-09-15,2025-09-29,120
시민과 함께하는 한밭대금,2025-09-20,2025-09-20,111
월간사진회 작품 전시회,2025-09-24,2025-09-30,104
국가암검진 홍보 캠페인,2025-09-25,2025-09-25,116
사제동행 독서문학기행 - 시화 작품 전시,2025-09-29,2025-10-17,111
국방부 특별 체험 전시,2025-10-04,2025-10-05,105
시민과 함께하는 한밭대금,2025-10-11,2025-10-11,111
10월「효의 달」칭찬·감사 캠페인 운영,2025-10-13,2025-10-13,111
2025 대전문학관 시확산 시민운동 순회전시,2025-10-13,2025-10-23,119
시민과 함께하는 한밭대금,2025-10-18,2025-10-18,111
색소폰연주,2025-10-19,2025-10-19,111
10월「효의 달」칭찬·감사 캠페인,2025-10-20,2025-10-20,116
한밭 사우회 사진전시회,2025-10-21,2025-10-28,104
예담프로젝트 전시회,2025-10-22,2025-10-29,111
10월「효의 달」칭찬·감사 캠페인,2025-10-27,2025-10-27,104
한밭사우회 사진전시회,2025-10-28,2025-11-04,106
